Block,Trial,ImageName,Response,RT,Correct,ConfidenceLevel
2,90,N_75_Non-Animal_Test.jpg,Non-Animal,1.95283039999777,1,1
2,91,H_22_Animal_Test.jpg,Animal,2.0941774999992,1,1
2,92,F_33_Non-Animal_Test.jpg,Non-Animal,2.42220059999818,1,0.4
2,93,M_21_Animal_Test.jpg,Animal,1.87749650000114,1,1
2,94,F_19_Non-Animal_Test.jpg,Non-Animal,2.1963911999992,1,0.75
2,95,M_10_Non-Animal_Test.jpg,Non-Animal,1.77898830000049,1,0.9
2,96,H_55_Animal_Test.jpg,Animal,1.88100059999852,1,1
2,97,N_32_Animal_Test.jpg,Animal,1.76474940000116,1,1
2,98,H_69_Non-Animal_Test.jpg,Non-Animal,2.89721790000112,1,0.65
2,99,N_3_Animal_Test.jpg,Animal,1.75962350000191,1,1
2,100,N_57_Animal_Test.jpg,Animal,1.76077499999883,1,1
2,101,M_2_Animal_Test.jpg,Animal,3.73800780000238,1,0.3
2,102,H_40_Animal_Test.jpg,Animal,1.89394500000344,1,1
2,103,F_54_Animal_Test.jpg,Animal,1.88886700000148,1,1
2,104,M_7_Animal_Test.jpg,Animal,1.77240009999878,1,1
2,105,F_23_Animal_Test.jpg,Animal,1.87174650000088,1,1
2,106,N_64_Animal_Test.jpg,Animal,1.76090420000037,1,1
2,107,N_41_Non-Animal_Test.jpg,Non-Animal,2.7691883999978,1,0.6
2,108,F_60_Non-Animal_Test.jpg,Non-Animal,4.40984119999848,1,0.75
2,109,M_33_Non-Animal_Test.jpg,Non-Animal,3.99686560000191,1,1
2,110,M_34_Animal_Test.jpg,Animal,3.06383819999974,1,1
2,111,F_16_Non-Animal_Test.jpg,Non-Animal,1.96863429999939,1,1
2,112,F_19_Animal_Test.jpg,Animal,2.32541920000222,1,0.4
2,113,N_13_Animal_Test.jpg,Animal,1.96944440000152,1,1
2,114,N_25_Non-Animal_Test.jpg,Non-Animal,3.5441419000017,1,0.75
2,115,H_50_Non-Animal_Test.jpg,Non-Animal,3.5180451999986,1,0.6
2,116,N_8_Non-Animal_Test.jpg,Non-Animal,2.63957500000106,1,0.7
2,117,F_14_Animal_Test.jpg,Non-Animal,3.52969640000083,0,0.3
2,118,F_47_Animal_Test.jpg,Animal,1.88507530000061,1,0.95
2,119,N_57_Non-Animal_Test.jpg,Animal,3.20760539999901,0,0.3
2,120,M_24_Animal_Test.jpg,Non-Animal,2.34816830000273,0,0.8
